Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT,AvgCTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
5/22/2025,9:55,BKG100000,Cancelled by Driver,CUST18725,Prime Sedan,Kudlu Gate,Bellandur,,,0,,1,The customer was coughing/sick,0,,,,,,
5/4/2025,21:31,BKG100001,Cancelled by Driver,CUST15958,Prime Plus,Kalena Agrahara,BTM Layout,,,0,,1,Customer related issue,0,,,,,,
5/15/2025,18:29,BKG100002,Success,CUST19891,Bike,Whitefield,HSR Sector 5,10,9,0,,0,,0,,778.67,11.6,4.4,3.9,Net Banking
5/9/2025,11:34,BKG100003,Success,CUST11122,Prime SUV,Electronic City,HSR Layout,2,11,0,,0,,0,,713.56,6.04,4.2,3,Wallet
5/27/2025,19:56,BKG100004,Cancelled by Customer,CUST13124,Prime Sedan,Hulimavu,Arekere,,,1,AC is not working,0,,0,,,,,,
5/24/2025,11:35,BKG100005,Cancelled by Customer,CUST19411,Bike,Horamavu,HSR Sector 4,4,,1,AC is not working,0,,0,,,,,,
5/26/2025,10:59,BKG100006,Incomplete,CUST17981,Bike,Bellandur,Whitefield,,,0,,0,,1,Customer Demand,,,,,
5/18/2025,17:57,BKG100007,Success,CUST13262,Bike,JP Nagar,HSR Sector 6,9,11,0,,0,,0,,344.21,20.45,3.2,3.9,Debit Card
5/29/2025,23:49,BKG100008,Success,CUST17495,Bike,Yeshwanthpur,RT Nagar,7,15,0,,0,,0,,783.06,3.08,4.7,3.7,Cash
5/23/2025,16:52,BKG100009,Cancelled by Driver,CUST17536,Mini,Jayanagar,Bannerghatta Road,,,0,,1,More than permitted people in there,0,,,,,,
5/6/2025,2:29,BKG100010,Success,CUST15347,Auto,Banashankari,Hoodi,2,7,0,,0,,0,,542.8,17.32,3.5,4,Net Banking
5/22/2025,15:36,BKG100011,Cancelled by Customer,CUST16429,eBike,Arekere,Rajajinagar,,,1,Wrong Address,0,,0,,,,,,
5/14/2025,17:14,BKG100012,Success,CUST12344,eBike,Sarjapur Road,Yeshwanthpur,10,11,0,,0,,0,,326.82,19.34,4.9,4.6,Cash
5/13/2025,1:09,BKG100013,Success,CUST17118,Prime Sedan,Domlur,BTM Layout,2,11,0,,0,,0,,241.1,6.62,3.1,4,Net Banking
5/11/2025,1:11,BKG100014,Cancelled by Driver,CUST16270,Prime Sedan,Domlur,Yeshwanthpur,,,0,,1,Customer related issue,0,,,,,,
5/2/2025,7:19,BKG100015,Cancelled by Driver,CUST19652,Auto,HSR Sector 1,Kalyan Nagar,,,0,,1,Customer related issue,0,,,,,,
5/14/2025,16:07,BKG100016,Success,CUST16739,Prime SUV,HSR Sector 6,Sarjapur Road,3,9,0,,0,,0,,79.3,14.04,3.3,5,Credit Card
5/30/2025,2:34,BKG100017,Incomplete,CUST16393,eBike,RT Nagar,Koramangala,,,0,,0,,1,Customer Demand,,,,,
5/23/2025,9:11,BKG100018,Success,CUST12361,Auto,Hoodi,Ulsoor,4,8,0,,0,,0,,154.3,3.11,4.6,3.7,Credit Card
5/16/2025,6:51,BKG100019,Success,CUST17203,Prime SUV,Indiranagar,Vijayanagar,5,11,0,,0,,0,,603.77,6.41,3.6,3.5,Debit Card
5/25/2025,4:33,BKG100020,Cancelled by Driver,CUST14223,Prime SUV,Malleshwaram,Kalena Agrahara,,,0,,1,Customer related issue,0,,,,,,
5/23/2025,17:10,BKG100021,Success,CUST18475,Prime SUV,Hebbal,HSR Sector 4,9,15,0,,0,,0,,77.26,18.75,3,3.8,Net Banking
5/19/2025,12:28,BKG100022,Success,CUST10082,Prime SUV,Banashankari,Brookefield,2,5,0,,0,,0,,297.77,12.63,4,4.5,UPI
5/19/2025,5:28,BKG100023,Success,CUST11957,Auto,KR Puram,Bommanahalli,10,11,0,,0,,0,,735.75,5.05,3.3,3,Debit Card
